skill_name,final_category
AI/ML Inference,Machine Learning
AIOps (Artificial Intelligence For IT Operations),ML Operations and Lifecycle
Amazon Lex,Cloud AI/ML Services
Anomaly Detection,Machine Learning
Applications Of Artificial Intelligence,AI Concepts and Applications
Artificial Intelligence,AI Concepts and Applications
Chatbot,Natural Language Processing
Collaborative Filtering,Machine Learning
Computer Vision,Computer Vision
Contextual Image Classification,Computer Vision
Decision Tree Learning,Machine Learning
Document Classification,Miscellaneous
Ethical AI,Responsible AI
Expert Systems,AI Concepts and Applications
Image Analysis,Computer Vision
Image Generation,Computer Vision
Image Recognition,Computer Vision
Image Segmentation,Computer Vision
Intelligent Virtual Assistant,AI Concepts and Applications
K-Means Clustering,Machine Learning
Language Model,Natural Language Processing
MLOps (Machine Learning Operations),ML Operations and Lifecycle
NLTK (NLP Analysis),Natural Language Processing
Naive Bayes Classifier,Machine Learning
Object Detection,Computer Vision
Object Recognition,Computer Vision
Pattern Recognition,AI Concepts and Applications
Predictive Analytics,Analytics
Prescriptive Analytics,Analytics
Principal Component Analysis,Machine Learning
PyTorch (Machine Learning Library),Machine Learning
PyTorch Lightning,Machine Learning
Pyspark,Cloud AI/ML Services
Question Answering,Natural Language Processing
Recommender Systems,AI Concepts and Applications
Scikit-Learn (Python Package),Machine Learning
Semantic Search,Natural Language Processing
Sensor Fusion,Miscellaneous
Sentiment Analysis,Natural Language Processing
Speech Synthesis,Speech and Audio Processing
Support Vector Machine,Machine Learning
Text-To-Speech,Speech and Audio Processing
Transfer Learning,Machine Learning
Unsupervised Learning,Machine Learning
Voice Assistant Technology,Speech and Audio Processing
AWS SageMaker,Cloud AI/ML Services
Advanced Analytics,Analytics
Apache MXNet,Machine Learning
Apache Spark,Machine Learning
Artificial Intelligence Development,AI Concepts and Applications
Artificial Intelligence Risk,Responsible AI
Artificial Intelligence Systems,AI Concepts and Applications
Artificial Neural Networks,Machine Learning
Autoencoders,Machine Learning
Automated Machine Learning,Machine Learning
Azure Cognitive Services,Cloud AI/ML Services
Azure Machine Learning,Cloud AI/ML Services
BERT (NLP Model),Natural Language Processing
ChatGPT,AI Concepts and Applications
Conversational AI,Natural Language Processing
Convolutional Neural Networks,Machine Learning
Deep Learning,Machine Learning
Deep Learning Methods,Machine Learning
Dialogflow (Google Service),Miscellaneous
Dimensionality Reduction,Machine Learning
Ensemble Methods,Machine Learning
Explainable AI (XAI),Responsible AI
Feature Engineering,Machine Learning
Feature Extraction,Machine Learning
Feature Learning,Machine Learning
Feature Selection,Machine Learning
GPT-3 (NLP Model),Natural Language Processing
Generative Adversarial Networks,Machine Learning
Generative Artificial Intelligence,AI Concepts and Applications
Gradient Boosting,Machine Learning
Hugging Face (NLP Framework),Natural Language Processing
Hugging Face Transformers,Natural Language Processing
Hyperparameter Optimization,Machine Learning
Keras (Neural Network Library),Machine Learning
Large Language Modeling,Natural Language Processing
Long Short-Term Memory (LSTM),Machine Learning
MLflow,Machine Learning
Machine Learning,Machine Learning
Machine Learning Algorithms,Machine Learning
Machine Learning Methods,Machine Learning
Machine Learning Model Monitoring And Evaluation,Machine Learning
Machine Learning Model Training,Machine Learning
Machine Translation,Natural Language Processing
Machine Vision,Computer Vision
ModelOps,ML Operations and Lifecycle
Named Entity Recognition,Natural Language Processing
Natural Language Generation,Natural Language Processing
Natural Language Processing (NLP),Natural Language Processing
Natural Language Understanding,Natural Language Processing
OpenCV,Machine Learning
Optical Character Recognition (OCR),Computer Vision
Pose Estimation,Computer Vision
Predictive Modeling,Machine Learning
Quantization,Miscellaneous
Random Forest Algorithm,Machine Learning
Recurrent Neural Network (RNN),Machine Learning
Reinforcement Learning,Machine Learning
SpaCy (NLP Software),Natural Language Processing
Speech Processing,Speech and Audio Processing
Supervised Learning,Machine Learning
TensorFlow,Machine Learning
Text Classification,Natural Language Processing
Text Mining,Natural Language Processing
Topic Modeling,Natural Language Processing
Torch (Machine Learning),Machine Learning
Transformer (Machine Learning Model),Machine Learning
Uncertainty Quantification,Responsible AI
Variational Autoencoders,Machine Learning
Word2Vec Models,Natural Language Processing
Xgboost,Machine Learning
